,Subject,CommitId,Author,Date,link,affected_class,#affected_files,Log message,Refactoring parent category 2,Refactoring parent category 1,Refactoring category,Representative refactoring category,Abbreviation,Is ML-specific refactoring category?,ML technical debt category,Is new technical debt category?,In ML-related code?,cls_before,cls_after,first_commit,last_commit,RF_date,all_before,all_after,change_ratio_before,change_ratoi_after,2nd_ratio_before,2nd_ratio_after,bugs_before,bugs_after,bugs_ratio_before,bugs_ratio_after
0,stanfordnlp/CoreNLP,01ae51c41,Christopher Manning,2017-05-28 17:42:21 -0700,https://github.com/stanfordnlp/CoreNLP/commit/01ae51c41,src/edu/stanford/nlp/pipeline/JSONOutputter.java,1,"Print out sections and some refactoring. Print the sections, but maybe this should be changed a bit so the sentences are a simple list, not a list of maps. Do a little refactoring out of repeated code blocks.",Generic,Reorganization,Duplicate code elimination,Duplicate code elimination,DUP,False,,,False,187,50,2014-09-09T00:12:19Z,2022-05-26T07:21:37Z,2017-05-29T00:42:21Z,3769,3022,0.0496,0.0165,1.4157,0.4721,2,1,0.0107,0.02
1,stanfordnlp/CoreNLP,13327445f,Jon Gauthier,2014-08-27 12:07:13 -0700,https://github.com/stanfordnlp/CoreNLP/commit/13327445f,src/edu/stanford/nlp/international/spanish/pipeline/AnCoraProcessor.java,1,Refactor AnCoraProcessor to use MulticoreWrapper,,Generic,Concurrency,Concurrency,CON,False,,,True,18,103,2014-08-27T19:05:01Z,2020-03-10T05:42:52Z,2014-08-27T19:07:13Z,164,5788,0.1098,0.0178,5.3547,0.8682,0,0,0.0,0.0
2,stanfordnlp/CoreNLP,1d5474b72,J38,2019-09-14 15:09:07 -0700,https://github.com/stanfordnlp/CoreNLP/commit/1d5474b72,src/edu/stanford/nlp/international/german/process/GermanTokenizerPostProcessor.java,1,"add number range handling, refactor some",,Generic,Safety,Safety,SAF,False,,,,4,6,2019-09-14T03:48:59Z,2022-04-20T20:40:17Z,2019-09-14T22:09:07Z,9,1499,0.4444,0.004,60.9293,0.5487,1,0,0.25,0.0
3,stanfordnlp/CoreNLP,29e8c720f,Sebastian Schuster,2015-03-20 21:36:06 -0700,https://github.com/stanfordnlp/CoreNLP/commit/29e8c720f,test/src/edu/stanford/nlp/trees/UniversalEnglishGrammaticalStructureTest.java,1,Refactored UniversalEnglishGrammaticalStructureTest,,Generic,Test,Test,TST,False,,,,25,87,2014-09-28T03:25:48Z,2021-12-07T17:39:05Z,2015-03-21T04:36:06Z,1303,5334,0.0192,0.0163,1.1269,0.958,0,0,0.0,0.0
4,stanfordnlp/CoreNLP,45c948b54,John Bauer,2019-11-27 18:51:01 -0800,https://github.com/stanfordnlp/CoreNLP/commit/45c948b54,src/edu/stanford/nlp/pipeline/ChineseSegmenterAnnotator.java,1,Simplify and use the refactored text split,,Generic,Simplify regex,Simplify regex,RGX,False,,,,341,5,2013-06-27T21:44:08Z,2019-12-02T00:48:24Z,2019-11-28T02:51:01Z,15507,20,0.022,0.25,0.984,11.1866,12,1,0.0352,0.2
5,stanfordnlp/CoreNLP,4816ccd03,Jason Bolton,2018-07-15 17:25:11 -0700,https://github.com/stanfordnlp/CoreNLP/commit/4816ccd03,itest/src/edu/stanford/nlp/pipeline/POSTaggerBenchmarkITest.java,1,refactor test,,Generic,Test,Test,TST,False,,,True,2,58,2018-07-15T05:47:36Z,2021-10-03T08:33:07Z,2018-07-16T00:25:11Z,4,1892,0.5,0.0307,15.541,0.9528,2,0,1.0,0.0
6,stanfordnlp/CoreNLP,664a179e8,John Bauer,2014-10-15 18:37:51 -0700,https://github.com/stanfordnlp/CoreNLP/commit/664a179e8,src/edu/stanford/nlp/parser/shiftreduce/ShiftReduceParser.java,1,Begin refactoring training method in ShiftReduceParser,,Generic,Clean up,Clean up,CLN,False,,,True,407,146,2014-05-19T22:29:55Z,2021-09-30T19:22:01Z,2014-10-16T01:37:51Z,6287,6411,0.0647,0.0228,1.4838,0.522,12,3,0.0295,0.0205
7,stanfordnlp/CoreNLP,6cb32ee6a,J38,2019-09-04 22:36:48 -0700,https://github.com/stanfordnlp/CoreNLP/commit/6cb32ee6a,itest/src/edu/stanford/nlp/pipeline/NERBenchmarkITest.java,1,"begin refactor process, remove german and spanish from old test",,Generic,Dead code elimination,Dead code elimination,DED,False,,,True,36,3,2018-07-16T03:26:03Z,2019-09-07T19:02:43Z,2019-09-05T05:36:48Z,544,10,0.0662,0.3,0.9165,4.155,1,0,0.0278,0.0
8,stanfordnlp/CoreNLP,75285cd46,J38,2019-09-04 22:36:47 -0700,https://github.com/stanfordnlp/CoreNLP/commit/75285cd46,itest/src/edu/stanford/nlp/pipeline/NERBenchmarkGermanITest.java,1,refactored german ner benchmark,,Generic,Test,Test,TST,False,,,,0,3,2019-09-05T05:36:47Z,2019-09-07T19:02:43Z,2019-09-05T05:36:47Z,1,11,0.0,0.2727,0.0,0.8182,0,0,0.0,0.0
9,stanfordnlp/CoreNLP,770fac204,John Bauer,2014-06-10 18:51:22 -0700,https://github.com/stanfordnlp/CoreNLP/commit/770fac204,src/edu/stanford/nlp/parser/shiftreduce/BasicFeatureFactory.java,1,Code refactoring,,Generic,Duplicate code elimination,Duplicate code elimination,DUP,False,Duplicate feature extraction code,True,True,131,187,2014-05-19T22:29:28Z,2020-11-30T07:47:41Z,2014-06-11T01:51:22Z,4311,8043,0.0304,0.0233,1.1768,0.9004,3,6,0.0229,0.0321
