Subject,CommitId,Author,Date,Log message
AffectiveTweets,8adc5a0,felipebravom,2017-09-22 15:26:57 +1200,Refactored the Embedding handler
CoreNLP,00d4c2a11,Jason Bolton,2019-07-12 16:41:16 -0700,refactor part-of-speech benchmarking
CoreNLP,01ae51c41,Christopher Manning,2017-05-28 17:42:21 -0700,"Print out sections and some refactoring. Print the sections, but maybe this should be changed a bit so the sentences are a simple list, not a list of maps. Do a little refactoring out of repeated code blocks."
CoreNLP,13327445f,Jon Gauthier,2014-08-27 12:07:13 -0700,Refactor AnCoraProcessor to use MulticoreWrapper
CoreNLP,18bef5178,Jason Bolton,2016-09-24 01:39:50 -0700,new coreference refactor
CoreNLP,1d5474b72,J38,2019-09-14 15:09:07 -0700,"add number range handling, refactor some"
CoreNLP,25a6414bc,John Bauer,2014-10-24 13:42:46 -0700,Update the commented out readObject to reflect the refactored srparser
CoreNLP,29e8c720f,Sebastian Schuster,2015-03-20 21:36:06 -0700,Refactored UniversalEnglishGrammaticalStructureTest
CoreNLP,325468909,Mengqiu Wang,2014-06-10 17:09:08 -0700,"merged remote branch crf_stochastic_fix, refactored CRFClassifier"
CoreNLP,34bd3847f,John Bauer,2019-11-30 21:58:41 -0800,"Refactor NodeAttributes so that we can do some error checking. Also, this will allow us to combine root with other attributes. See issue https://github.com/stanfordnlp/CoreNLP/issues/552"
CoreNLP,45c948b54,John Bauer,2019-11-27 18:51:01 -0800,Simplify and use the refactored text split
CoreNLP,4816ccd03,Jason Bolton,2018-07-15 17:25:11 -0700,refactor test
CoreNLP,616d266aa,desmorto,2017-10-24 20:58:02 -0700,(refactor) some opportunities to use Multi-Catch
CoreNLP,664a179e8,John Bauer,2014-10-15 18:37:51 -0700,Begin refactoring training method in ShiftReduceParser
CoreNLP,6cb32ee6a,J38,2019-09-04 22:36:48 -0700,"begin refactor process, remove german and spanish from old test"
CoreNLP,7299f6ab5,John Bauer,2014-06-10 18:54:25 -0700,Large scale refactoring - make train() a member function
CoreNLP,75285cd46,J38,2019-09-04 22:36:47 -0700,refactored german ner benchmark
CoreNLP,770fac204,John Bauer,2014-06-10 18:51:22 -0700,Code refactoring
CoreNLP,8b54f5b96,ameya,2017-07-02 11:23:50 -0700,"Refactoring 2 instances from Function<V,Double> to ToDoubleFunction<V>"
CoreNLP,907f380bf,desmorto,2017-11-20 16:24:55 -0800,(refactor) some opportunities to use Anonymous inner Classes
