og_idx,Subject,CommitId,Author,Date,link,affected_class,#affected_files,Log message,Refactoring parent category 2,Refactoring parent category 1,Refactoring category,Representative refactoring category,Abbreviation,Is ML-specific refactoring category?,ML technical debt category,Is new technical debt category?,In ML-related code?
4,stanfordnlp/CoreNLP,01ae51c41,Christopher Manning,2017-05-28 17:42:21 -0700,https://github.com/stanfordnlp/CoreNLP/commit/01ae51c41,src/edu/stanford/nlp/pipeline/JSONOutputter.java,1,"Print out sections and some refactoring. Print the sections, but maybe this should be changed a bit so the sentences are a simple list, not a list of maps. Do a little refactoring out of repeated code blocks.",Generic,Reorganization,Duplicate code elimination,Duplicate code elimination,DUP,FALSE,,,FALSE
5,stanfordnlp/CoreNLP,13327445f,Jon Gauthier,2014-08-27 12:07:13 -0700,https://github.com/stanfordnlp/CoreNLP/commit/13327445f,src/edu/stanford/nlp/international/spanish/pipeline/AnCoraProcessor.java,1,Refactor AnCoraProcessor to use MulticoreWrapper,,Generic,Concurrency,Concurrency,CON,FALSE,,,TRUE
8,stanfordnlp/CoreNLP,1d5474b72,J38,2019-09-14 15:09:07 -0700,https://github.com/stanfordnlp/CoreNLP/commit/1d5474b72,src/edu/stanford/nlp/international/german/process/GermanTokenizerPostProcessor.java,1,"add number range handling, refactor some",,Generic,Safety,Safety,SAF,FALSE,,,
10,stanfordnlp/CoreNLP,29e8c720f,Sebastian Schuster,2015-03-20 21:36:06 -0700,https://github.com/stanfordnlp/CoreNLP/commit/29e8c720f,test/src/edu/stanford/nlp/trees/UniversalEnglishGrammaticalStructureTest.java,1,Refactored UniversalEnglishGrammaticalStructureTest,,Generic,Test,Test,TST,FALSE,,,
14,stanfordnlp/CoreNLP,45c948b54,John Bauer,2019-11-27 18:51:01 -0800,https://github.com/stanfordnlp/CoreNLP/commit/45c948b54,src/edu/stanford/nlp/pipeline/ChineseSegmenterAnnotator.java,1,Simplify and use the refactored text split,,Generic,Simplify regex,Simplify regex,RGX,FALSE,,,
15,stanfordnlp/CoreNLP,4816ccd03,Jason Bolton,2018-07-15 17:25:11 -0700,https://github.com/stanfordnlp/CoreNLP/commit/4816ccd03,itest/src/edu/stanford/nlp/pipeline/POSTaggerBenchmarkITest.java,1,refactor test,,Generic,Test,Test,TST,FALSE,,,TRUE
18,stanfordnlp/CoreNLP,664a179e8,John Bauer,2014-10-15 18:37:51 -0700,https://github.com/stanfordnlp/CoreNLP/commit/664a179e8,src/edu/stanford/nlp/parser/shiftreduce/ShiftReduceParser.java,1,Begin refactoring training method in ShiftReduceParser,,Generic,Clean up,Clean up,CLN,FALSE,,,TRUE
19,stanfordnlp/CoreNLP,6cb32ee6a,J38,2019-09-04 22:36:48 -0700,https://github.com/stanfordnlp/CoreNLP/commit/6cb32ee6a,itest/src/edu/stanford/nlp/pipeline/NERBenchmarkITest.java,1,"begin refactor process, remove german and spanish from old test",,Generic,Dead code elimination,Dead code elimination,DED,FALSE,,,TRUE
21,stanfordnlp/CoreNLP,75285cd46,J38,2019-09-04 22:36:47 -0700,https://github.com/stanfordnlp/CoreNLP/commit/75285cd46,itest/src/edu/stanford/nlp/pipeline/NERBenchmarkGermanITest.java,1,refactored german ner benchmark,,Generic,Test,Test,TST,FALSE,,,
22,stanfordnlp/CoreNLP,770fac204,John Bauer,2014-06-10 18:51:22 -0700,https://github.com/stanfordnlp/CoreNLP/commit/770fac204,src/edu/stanford/nlp/parser/shiftreduce/BasicFeatureFactory.java,1,Code refactoring,,Generic,Duplicate code elimination,Duplicate code elimination,DUP,FALSE,Duplicate feature extraction code,TRUE,TRUE
