"Subject","CommitId","Author","Date","Log message","Actual refactoring?","Refactoring parent category 3","Refactoring parent category 2","Refactoring parent category 1","Refactoring category","Representative refactoring category","Abbreviation","Is ML-specific refactoring category?","ML technical debt category","Is new technical debt category?","In ML-related code?"
"AffectiveTweets","8adc5a0","felipebravom","2017-09-22 15:26:57 +1200","Refactored the Embedding handler",TRUE,"Generic","Reorganization","Duplicate code elimination","Introduce inheritance","Duplicate code elimination","DUP",FALSE,,,FALSE
"CoreNLP","00d4c2a11","Jason Bolton","2019-07-12 16:41:16 -0700","refactor part-of-speech benchmarking",TRUE,,,"Generic","Test","Test","TST",FALSE,,,
"CoreNLP","01ae51c41","Christopher Manning","2017-05-28 17:42:21 -0700","Print out sections and some refactoring. Print the sections, but maybe this should be changed a bit so the sentences are a simple list, not a list of maps. Do a little refactoring out of repeated code blocks.",TRUE,,"Generic","Reorganization","Duplicate code elimination","Duplicate code elimination","DUP",FALSE,,,FALSE
"CoreNLP","13327445f","Jon Gauthier","2014-08-27 12:07:13 -0700","Refactor AnCoraProcessor to use MulticoreWrapper",TRUE,,,"Generic","Concurrency","Concurrency","CON",FALSE,,,TRUE
"CoreNLP","18bef5178","Jason Bolton","2016-09-24 01:39:50 -0700","new coreference refactor",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,TRUE
"CoreNLP","1ba55fcad","John Bauer","2014-10-24 13:42:15 -0700","Treebank loading is now refactored",FALSE,,,,,,,,,,
"CoreNLP","1d5474b72","J38","2019-09-14 15:09:07 -0700","add number range handling, refactor some",TRUE,,,"Generic","Safety","Safety","SAF",FALSE,,,
"CoreNLP","25a6414bc","John Bauer","2014-10-24 13:42:46 -0700","Update the commented out readObject to reflect the refactored srparser",TRUE,,,,"Unknown","Unknown","UKN",FALSE,,,
"CoreNLP","29e8c720f","Sebastian Schuster","2015-03-20 21:36:06 -0700","Refactored UniversalEnglishGrammaticalStructureTest",TRUE,,,"Generic","Test","Test","TST",FALSE,,,
"CoreNLP","325468909","Mengqiu Wang","2014-06-10 17:09:08 -0700","merged remote branch crf_stochastic_fix, refactored CRFClassifier",TRUE,"ML-specific","Reorganization","Introduce inheritance","Replace flags with polymorphic classifier","Replace flags with polymorphic classifier","CLS",TRUE,"Configuration",FALSE,TRUE
"CoreNLP","34bd3847f","John Bauer","2019-11-30 21:58:41 -0800","Refactor NodeAttributes so that we can do some error checking. Also, this will allow us to combine root with other attributes. See issue https://github.com/stanfordnlp/CoreNLP/issues/552",TRUE,,,"Generic","Test","Test","TST",FALSE,,,
"CoreNLP","4519d5a77","Arun Tejasvi Chaganty","2015-07-22 16:12:39 -0700","Refactored SlotFiller out of KBPEvaluator. Introduced Props.KBP_TRACK",FALSE,,,,,,,,,,
"CoreNLP","45c948b54","John Bauer","2019-11-27 18:51:01 -0800","Simplify and use the refactored text split",TRUE,,,"Generic","Simplify regex","Simplify regex","RGX",FALSE,,,
"CoreNLP","4816ccd03","Jason Bolton","2018-07-15 17:25:11 -0700","refactor test",TRUE,,,"Generic","Test","Test","TST",FALSE,,,TRUE
"CoreNLP","616d266aa","desmorto","2017-10-24 20:58:02 -0700","(refactor) some opportunities to use Multi-Catch",TRUE,,,"Generic","New language feature","New language feature","LNG",FALSE,,,
"CoreNLP","6583ea66c","Grace Muzny","2016-03-09 22:27:50 -0800","fix possible null pointer in xml, refactor run utils in quote land",FALSE,,,,,,,,,,
"CoreNLP","664a179e8","John Bauer","2014-10-15 18:37:51 -0700","Begin refactoring training method in ShiftReduceParser",TRUE,,,"Generic","Clean up","Clean up","CLN",FALSE,,,TRUE
"CoreNLP","6cb32ee6a","J38","2019-09-04 22:36:48 -0700","begin refactor process, remove german and spanish from old test",TRUE,,,"Generic","Dead code elimination","Dead code elimination","DED",FALSE,,,TRUE
