,Unnamed: 0.1,Unnamed: 0,project,sha,message,link
0,0.0,0.0,felipebravom/AffectiveTweets,8adc5a0fff12a875455c90d3b45849372ea505e0,Refactored the Embedding handler,https://github.com/felipebravom/AffectiveTweets/commit/8adc5a0fff12a875455c90d3b45849372ea505e0
1,1.0,1.0,stanfordnlp/CoreNLP,83612aafeccd59f75dbf2c002951372402052df2,Refactor some shared code for processing serialized annotations and combining them with the tokens,https://github.com/stanfordnlp/CoreNLP/commit/83612aafeccd59f75dbf2c002951372402052df2
2,2.0,2.0,stanfordnlp/CoreNLP,3c40ba32ca51af02936b907d03406e2158883f7b,"Start refactoring a couple things which should be common to all language tokenizers, such as space characters and filenames",https://github.com/stanfordnlp/CoreNLP/commit/3c40ba32ca51af02936b907d03406e2158883f7b
3,3.0,3.0,stanfordnlp/CoreNLP,dba0752a2a01bacd3c27d80c85da01662e08c202,refactor,https://github.com/stanfordnlp/CoreNLP/commit/dba0752a2a01bacd3c27d80c85da01662e08c202
4,4.0,4.0,stanfordnlp/CoreNLP,66d2a80dfbf76ab4821716626fc41b210a366187,Refactor a bit,https://github.com/stanfordnlp/CoreNLP/commit/66d2a80dfbf76ab4821716626fc41b210a366187
5,5.0,5.0,stanfordnlp/CoreNLP,916f3b676585b5d2e42701d36694d9b6d2d568ce,Refactor 00a7 to a constant name,https://github.com/stanfordnlp/CoreNLP/commit/916f3b676585b5d2e42701d36694d9b6d2d568ce
6,6.0,6.0,stanfordnlp/CoreNLP,89eaea4ae05081a510a3347844cf1c0d15dc1b24,Refactor a bit,https://github.com/stanfordnlp/CoreNLP/commit/89eaea4ae05081a510a3347844cf1c0d15dc1b24
7,7.0,7.0,stanfordnlp/CoreNLP,a32e720b31206f9ce03b95c91c4f37ff61564c7c,Refactor 00a7 to a constant name,https://github.com/stanfordnlp/CoreNLP/commit/a32e720b31206f9ce03b95c91c4f37ff61564c7c
8,8.0,8.0,stanfordnlp/CoreNLP,99b4fb5426f2378d9142c5067037340642be012d,Refactor the TextOutputter a big so that outputting quotes can be used elsewhere,https://github.com/stanfordnlp/CoreNLP/commit/99b4fb5426f2378d9142c5067037340642be012d
9,9.0,9.0,stanfordnlp/CoreNLP,22831c7b3fb3238d64bbf72532e50cb700e99c93,"Refactor Weight a bit and add a test.  This will make it easier to compress to 3 shorts instead of 1 long per weight

Add a getScore and a testAddScaled

Add a toString() and a test of a bunch of random operations, literally in one case

Includes a test which happened to reveal a math error in the 48 bit weights",https://github.com/stanfordnlp/CoreNLP/commit/22831c7b3fb3238d64bbf72532e50cb700e99c93
10,10.0,10.0,stanfordnlp/CoreNLP,48b8dd4554e08a50eb740ec5b6d8df2ee4efa979,Refactor the main method of UniversalEnhancer from the actual enhancements,https://github.com/stanfordnlp/CoreNLP/commit/48b8dd4554e08a50eb740ec5b6d8df2ee4efa979
